medal_type,name,gender,country_code,country,nationality_code,nationality,event,birth_date
Bronze Medal,MAYER Lisa,Female,GER,Germany,GER,Germany,Women's 4 x 100m Relay,1996-05-02
Gold Medal,SILVA RAMOS Ana Patricia,Female,BRA,Brazil,BRA,Brazil,Women,1997-09-29
Gold Medal,SANTOS LISBOA Eduarda,Female,BRA,Brazil,BRA,Brazil,Women,1998-08-01
Silver Medal,HUMANA-PAREDES Melissa,Female,CAN,Canada,CAN,Canada,Women,1992-10-10
Silver Medal,WILKERSON Brandie,Female,CAN,Canada,CAN,Canada,Women,1992-07-01
Bronze Medal,HUEBERLI Tanja,Female,SUI,Switzerland,SUI,Switzerland,Women,1992-08-27
Bronze Medal,BRUNNER Nina,Female,SUI,Switzerland,SUI,Switzerland,Women,1995-10-14
Gold Medal,SCHOPF Jacob,Male,GER,Germany,GER,Germany,Men's Kayak Double 500m,1999-06-08
Gold Medal,LEMKE Max,Male,GER,Germany,GER,Germany,Men's Kayak Double 500m,1996-12-02
Silver Medal,NADAS Bence,Male,HUN,Hungary,HUN,Hungary,Men's Kayak Double 500m,1996-04-17
Silver Medal,TOTKA Sandor,Male,HUN,Hungary,HUN,Hungary,Men's Kayak Double 500m,1994-07-27
Bronze Medal,van der WESTHUYZEN Jean,Male,AUS,Australia,AUS,Australia,Men's Kayak Double 500m,1998-12-09
Bronze Medal,GREEN Tom,Male,AUS,Australia,AUS,Australia,Men's Kayak Double 500m,1999-06-03
Gold Medal,XU Shixiao,Female,CHN,China,CHN,China,Women's Canoe Double 500m,1992-02-16
Gold Medal,SUN Mengya,Female,CHN,China,CHN,China,Women's Canoe Double 500m,2001-05-03
Silver Medal,LUZAN Liudmyla,Female,UKR,Ukraine,UKR,Ukraine,Women's Canoe Double 500m,1997-03-27
Silver Medal,RYBACHOK Anastasiia,Female,UKR,Ukraine,UKR,Ukraine,Women's Canoe Double 500m,1998-04-13
Bronze Medal,MACKENZIE Sloan,Female,CAN,Canada,CAN,Canada,Women's Canoe Double 500m,2002-05-16
Bronze Medal,VINCENT Katie,Female,CAN,Canada,CAN,Canada,Women's Canoe Double 500m,1996-03-12
Gold Medal,CARRINGTON Lisa,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Double 500m,1989-06-23
Gold Medal,HOSKIN Alicia,Female,NZL,New Zealand,NZL,New Zealand,Women's Kayak Double 500m,2000-02-06
Silver Medal,CSIPES Tamara,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Double 500m,1989-08-24
Silver Medal,GAZSO Alida Dora,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Double 500m,2000-04-18
Bronze Medal,PASZEK Paulina,Female,GER,Germany,GER,Germany,Women's Kayak Double 500m,1997-10-26
Bronze Medal,HAKE Jule Marie,Female,GER,Germany,GER,Germany,Women's Kayak Double 500m,1999-09-24
Bronze Medal,PUPP Noemi,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Double 500m,1998-07-28
Bronze Medal,FOJT Sara,Female,HUN,Hungary,HUN,Hungary,Women's Kayak Double 500m,2003-12-03
Gold Medal,GUAZZINI Vittoria,Female,ITA,Italy,ITA,Italy,Women's Madison,2000-12-26
Gold Medal,CONSONNI Chiara,Female,ITA,Italy,ITA,Italy,Women's Madison,1999-06-24
Silver Medal,EVANS Neah,Female,GBR,Great Britain,GBR,Great Britain,Women's Madison,1990-08-01
Silver Medal,BARKER Elinor,Female,GBR,Great Britain,GBR,Great Britain,Women's Madison,1994-09-07
Bronze Medal,van BELLE Lisa,Female,NED,Netherlands,NED,Netherlands,Women's Madison,2004-01-30
Bronze Medal,van der DUIN Maike,Female,NED,Netherlands,NED,Netherlands,Women's Madison,2001-09-12
Gold Medal,TENAS Arnau,Male,ESP,Spain,ESP,Spain,Men,2001-05-30
Gold Medal,PUBILL Marc,Male,ESP,Spain,ESP,Spain,Men,2003-06-20
Gold Medal,MIRANDA Juan,Male,ESP,Spain,ESP,Spain,Men,2000-01-19
Gold Medal,GARCIA Eric,Male,ESP,Spain,ESP,Spain,Men,2001-01-09
Gold Medal,CUBARSI Pau,Male,ESP,Spain,ESP,Spain,Men,2007-01-22
Gold Medal,BARRIOS Pablo,Male,ESP,Spain,ESP,Spain,Men,2003-06-15
Gold Medal,LOPEZ Diego,Male,ESP,Spain,ESP,Spain,Men,2002-05-13
Gold Medal,TURRIENTES Benat,Male,ESP,Spain,ESP,Spain,Men,2002-01-31
Gold Medal,RUIZ Abel,Male,ESP,Spain,ESP,Spain,Men,2000-01-28
Gold Medal,BAENA Alex,Male,ESP,Spain,ESP,Spain,Men,2001-07-20
Gold Medal,LOPEZ Fermin,Male,ESP,Spain,ESP,Spain,Men,2003-05-11
Gold Medal,PACHECO Jon,Male,ESP,Spain,ESP,Spain,Men,2001-01-08
Gold Medal,GARCIA Joan,Male,ESP,Spain,ESP,Spain,Men,2001-05-04
Gold Medal,OROZ Aimar,Male,ESP,Spain,ESP,Spain,Men,2001-11-27
Gold Medal,GUTIERREZ Miguel,Male,ESP,Spain,ESP,Spain,Men,2001-07-27
Gold Medal,BERNABE Adrian,Male,ESP,Spain,ESP,Spain,Men,2001-05-26
Gold Medal,GOMEZ Sergio,Male,ESP,Spain,ESP,Spain,Men,2000-09-04
Gold Medal,OMORODION Samu,Male,ESP,Spain,ESP,Spain,Men,2004-05-05
Gold Medal,MOSQUERA Cristhian,Male,ESP,Spain,ESP,Spain,Men,2004-06-27
Gold Medal,SANCHEZ Juanlu,Male,ESP,Spain,ESP,Spain,Men,2003-08-15
Gold Medal,CAMELLO Sergio,Male,ESP,Spain,ESP,Spain,Men,2001-02-10
Gold Medal,ITURBE Alejandro,Male,ESP,Spain,ESP,Spain,Men,2003-09-02
Silver Medal,NKAMBADIO Obed,Male,FRA,France,FRA,France,Men,2003-02-07
Silver Medal,LUKEBA Castello,Male,FRA,France,FRA,France,Men,2002-12-17
Silver Medal,TRUFFERT Adrien,Male,FRA,France,FRA,France,Men,2001-11-20
Silver Medal,BADE Loic,Male,FRA,France,FRA,France,Men,2000-04-11
Silver Medal,SILDILLIA Kiliann,Male,FRA,France,FRA,France,Men,2002-05-16
Silver Medal,KONE Manu,Male,FRA,France,FRA,France,Men,2001-05-17
Silver Medal,OLISE Michael,Male,FRA,France,FRA,France,Men,2001-12-12
Silver Medal,AKLIOUCHE Maghnes,Male,FRA,France,FRA,France,Men,2002-02-25
Silver Medal,KALIMUENDO Arnaud,Male,FRA,France,FRA,France,Men,2002-01-20
Silver Medal,LACAZETTE Alexandre,Male,FRA,France,FRA,France,Men,1991-05-28
Silver Medal,DOUE Desire,Male,FRA,France,FRA,France,Men,2005-06-03
Silver Medal,MILLOT Enzo,Male,FRA,France,FRA,France,Men,2002-07-17
Silver Medal,CHOTARD Joris,Male,FRA,France,FRA,France,Men,2001-09-24
Silver Medal,MATETA Jean-Philippe,Male,FRA,France,FRA,France,Men,1997-06-28
Silver Medal,LOCKO Bradley,Male,FRA,France,FRA,France,Men,2002-05-06
Silver Medal,RESTES Guillaume,Male,FRA,France,FRA,France,Men,2005-03-11
Silver Medal,MAGASSA Soungoutou,Male,FRA,France,FRA,France,Men,2003-10-08
Silver Medal,CHERKI Rayan,Male,FRA,France,FRA,France,Men,2003-08-17
Silver Medal,MATSIMA Chrislain,Male,FRA,France,FRA,France,Men,2002-05-15
Silver Medal,DIOUF Andy,Male,FRA,France,FRA,France,Men,2003-05-17
Silver Medal,LEPENANT Johann,Male,FRA,France,FRA,France,Men,2002-10-22
Bronze Medal,FROHMS Merle,Female,GER,Germany,GER,Germany,Women,1995-01-28
Bronze Medal,LINDER Sarai,Female,GER,Germany,GER,Germany,Women,1999-10-26
Bronze Medal,HENDRICH Kathrin,Female,GER,Germany,GER,Germany,Women,1992-04-06
Bronze Medal,SCHULZE SOLANO Bibiane,Female,GER,Germany,GER,Germany,Women,1998-11-12
Bronze Medal,HEGERING Marina,Female,GER,Germany,GER,Germany,Women,1990-04-17
Bronze Medal,MINGE Janina,Female,GER,Germany,GER,Germany,Women,1999-06-11
Bronze Medal,SCHUELLER Lea,Female,GER,Germany,GER,Germany,Women,1997-11-12
Bronze Medal,LOHMANN Sydney,Female,GER,Germany,GER,Germany,Women,2000-06-19
Bronze Medal,NUESKEN Sjoeke,Female,GER,Germany,GER,Germany,Women,2001-01-22
Bronze Medal,FREIGANG Laura,Female,GER,Germany,GER,Germany,Women,1998-02-01
Bronze Medal,POPP Alexandra,Female,GER,Germany,GER,Germany,Women,1991-04-06
Bronze Medal,BERGER Ann-Katrin,Female,GER,Germany,GER,Germany,Women,1990-10-09
Bronze Medal,DOORSOUN Sara,Female,GER,Germany,GER,Germany,Women,1991-11-17
Bronze Medal,SENSS Elisa,Female,GER,Germany,GER,Germany,Women,1997-10-01
Bronze Medal,GWINN Giulia,Female,GER,Germany,GER,Germany,Women,1999-07-02
Bronze Medal,BRAND Jule,Female,GER,Germany,GER,Germany,Women,2002-10-16
Bronze Medal,BUEHL Klara,Female,GER,Germany,GER,Germany,Women,2000-12-07
Bronze Medal,ENDEMANN Vivien,Female,GER,Germany,GER,Germany,Women,2001-08-07
Bronze Medal,RAUCH Felicitas,Female,GER,Germany,GER,Germany,Women,1996-04-30
Bronze Medal,ANYOMI Nicole,Female,GER,Germany,GER,Germany,Women,2000-02-10
Gold Medal,VEENENDAAL Anne,Female,NED,Netherlands,NED,Netherlands,Women,1995-09-07
Gold Medal,FOKKE Luna Noa,Female,NED,Netherlands,NED,Netherlands,Women,2001-03-09
Gold Medal,MOES Freeke,Female,NED,Netherlands,NED,Netherlands,Women,1998-11-29
Gold Medal,POST Lisa,Female,NED,Netherlands,NED,Netherlands,Women,1999-01-27
Gold Medal,de WAARD Xan,Female,NED,Netherlands,NED,Netherlands,Women,1995-11-08
Gold Medal,JANSEN Yibbi,Female,NED,Netherlands,NED,Netherlands,Women,1999-11-18
Gold Medal,van LAARHOVEN Renee,Female,NED,Netherlands,NED,Netherlands,Women,1997-10-15
Gold Medal,ALBERS Felice,Female,NED,Netherlands,NED,Netherlands,Women,1999-12-27
Gold Medal,VERSCHOOR Maria,Female,NED,Netherlands,NED,Netherlands,Women,1994-04-22
Gold Medal,KOOLEN Sanne,Female,NED,Netherlands,NED,Netherlands,Women,1996-03-23
Gold Medal,MATLA Frederique,Female,NED,Netherlands,NED,Netherlands,Women,1996-12-28
Gold Medal,BURG Joosje,Female,NED,Netherlands,NED,Netherlands,Women,1997-07-29
Gold Medal,JOCHEMS Marleen,Female,NED,Netherlands,NED,Netherlands,Women,2000-01-24
Gold Medal,SANDERS Pien,Female,NED,Netherlands,,,Women,1998-06-11
Gold Medal,VEEN Marijn,Female,NED,Netherlands,NED,Netherlands,Women,1996-11-18
Gold Medal,NUNNINK Laura,Female,NED,Netherlands,NED,Netherlands,Women,1995-01-26
Gold Medal,DICKE Pien,Female,NED,Netherlands,NED,Netherlands,Women,1999-08-28
Silver Medal,YE Jiao,Female,CHN,China,CHN,China,Women,1994-10-21
Silver Medal,GU Bingfeng,Female,CHN,China,CHN,China,Women,1994-01-25
Silver Medal,YANG Liu,Female,CHN,China,CHN,China,Women,1998-09-01
Silver Medal,ZHANG Ying,Female,CHN,China,CHN,China,Women,1998-08-29
Silver Medal,CHEN Yi,Female,CHN,China,CHN,China,Women,1997-01-28
Silver Medal,MA Ning,Female,CHN,China,CHN,China,Women,2000-09-29
Silver Medal,LI Hong,Female,CHN,China,CHN,China,Women,1999-05-31
Silver Medal,OU Zixia,Female,CHN,China,CHN,China,Women,1995-09-24
Silver Medal,DAN Wen,Female,CHN,China,CHN,China,Women,1999-06-14
Silver Medal,ZOU Meirong,Female,CHN,China,CHN,China,Women,2000-09-01
Silver Medal,HE Jiangxin,Female,CHN,China,CHN,China,Women,1997-08-19
Silver Medal,FAN Yunxia,Female,CHN,China,CHN,China,Women,2002-12-07
Silver Medal,CHEN Yang,Female,CHN,China,CHN,China,Women,1997-02-15
Silver Medal,XU Wenyu,Female,CHN,China,CHN,China,Women,1995-12-06
Silver Medal,ZHONG Jiaqi,Female,CHN,China,CHN,China,Women,1999-09-23
Silver Medal,TAN Jinzhuang,Female,CHN,China,CHN,China,Women,2003-01-27
Silver Medal,YU Anhui,Female,CHN,China,CHN,China,Women,2001-04-30
Bronze Medal,TOCCALINO Sofia,Female,ARG,Argentina,ARG,Argentina,Women,1997-03-20
Bronze Medal,GORZELANY Agustina,Female,ARG,Argentina,ARG,Argentina,Women,1996-03-11
Bronze Medal,RAPOSO RUIZ de los LLANOS Valentina,Female,ARG,Argentina,ARG,Argentina,Women,2003-01-28
Bronze Medal,ALONSO Agostina,Female,ARG,Argentina,ARG,Argentina,Women,1995-10-01
Bronze Medal,ALBERTARRIO Agustina,Female,ARG,Argentina,ARG,Argentina,Women,1993-01-01
Bronze Medal,GRANATTO Maria,Female,ARG,Argentina,ARG,Argentina,Women,1995-04-21
Bronze Medal,COSENTINO Cristina,Female,ARG,Argentina,ARG,Argentina,Women,1997-12-22
Bronze Medal,SANCHEZ MOCCIA Rocio,Female,ARG,Argentina,ARG,Argentina,Women,1988-08-02
Bronze Medal,SAUZE VALDEZ Victoria,Female,ARG,Argentina,ARG,Argentina,Women,1991-07-21
Bronze Medal,CAIRO Sofia,Female,ARG,Argentina,ARG,Argentina,Women,2002-10-08
Bronze Medal,TRINCHINETTI Eugenia,Female,ARG,Argentina,ARG,Argentina,Women,1997-07-17
Bronze Medal,CASAS Lara,Female,ARG,Argentina,ARG,Argentina,Women,2004-06-22
Bronze Medal,CASTELLARO MORELLO Juana,Female,ARG,Argentina,ARG,Argentina,Women,2005-03-29
Bronze Medal,CAMPOY Maria,Female,ARG,Argentina,ARG,Argentina,Women,1990-10-06
Bronze Medal,JANKUNAS Julieta,Female,ARG,Argentina,ARG,Argentina,Women,1999-01-20
Bronze Medal,DIAZ de ARMAS Zoe,Female,ARG,Argentina,ARG,Argentina,Women,2006-06-05
Gold Medal,FAN Zhendong,Male,CHN,China,CHN,China,Men's Team,1997-01-22
Gold Medal,MA Long,Male,CHN,China,CHN,China,Men's Team,1988-10-20
Gold Medal,WANG Chuqin,Male,CHN,China,CHN,China,Men's Team,2000-05-11
Silver Medal,KALLBERG Anton,Male,SWE,Sweden,SWE,Sweden,Men's Team,1997-08-17
Silver Medal,KARLSSON Kristian,Male,SWE,Sweden,SWE,Sweden,Men's Team,1991-08-06
Silver Medal,MOREGARD Truls,Male,SWE,Sweden,SWE,Sweden,Men's Team,2002-02-16
Bronze Medal,GAUZY Simon,Male,FRA,France,FRA,France,Men's Team,1994-10-25
Bronze Medal,LEBRUN Alexis,Male,FRA,France,FRA,France,Men's Team,2003-08-27
Bronze Medal,LEBRUN Felix,Male,FRA,France,FRA,France,Men's Team,2006-09-12
Bronze Medal,ANDERSON Matthew,Male,USA,United States,USA,United States,Men,1987-04-18
Bronze Medal,AVERILL Taylor,Male,USA,United States,USA,United States,Men,1992-03-05
Bronze Medal,CHRISTENSON Micah,Male,USA,United States,USA,United States,Men,1993-05-08
Bronze Medal,DEFALCO Torey,Male,USA,United States,USA,United States,Men,1997-04-10
Bronze Medal,HOLT Maxwell,Male,USA,United States,USA,United States,Men,1987-03-12
Bronze Medal,JAESCHKE Thomas,Male,USA,United States,USA,United States,Men,1993-09-04
Bronze Medal,JENDRYK II Jeffrey,Male,USA,United States,USA,United States,Men,1995-09-15
Bronze Medal,MA'A Micah,Male,USA,United States,USA,United States,Men,1997-04-16
Bronze Medal,MUAGUTUTIA Garrett,Male,USA,United States,USA,United States,Men,1988-02-26
Bronze Medal,RUSSELL Aaron,Male,USA,United States,USA,United States,Men,1993-06-04
Bronze Medal,SHOJI Erik,Male,USA,United States,USA,United States,Men,1989-08-24
Bronze Medal,SMITH David,Male,USA,United States,USA,United States,Men,1985-05-15
Bronze Medal,ENSING Kyle,Male,USA,United States,USA,United States,Men,1997-03-06
Gold Medal,WANG Liuyi,Female,CHN,China,CHN,China,Duet,1997-01-16
Gold Medal,WANG Qianyi,Female,CHN,China,CHN,China,Duet,1997-01-16
Silver Medal,SHORTMAN Kate,Female,GBR,Great Britain,GBR,Great Britain,Duet,2001-11-19
Silver Medal,THORPE Isabelle,Female,GBR,Great Britain,GBR,Great Britain,Duet,2001-03-04
Bronze Medal,de BROUWER Bregje,Female,NED,Netherlands,NED,Netherlands,Duet,1999-03-09
Bronze Medal,de BROUWER Noortje,Female,NED,Netherlands,NED,Netherlands,Duet,1999-03-09
Gold Medal,BAILEY Christopher,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,2000-05-29
Gold Medal,BENJAMIN Rai,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1997-07-27
Gold Medal,DEADMON Bryce,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1997-03-26
Gold Medal,HALL Quincy,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1998-07-31
Gold Medal,LINDSEY Courtney,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1998-11-18
Gold Medal,NORMAN Michael,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1997-12-03
Gold Medal,NORWOOD Vernon,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,1992-04-10
Gold Medal,WILSON Quincy,Male,USA,United States,USA,United States,Men's 4 x 400m Relay,2008-01-08
Silver Medal,EPPIE Lee Bhekempilo,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,1999-05-18
Silver Medal,KEBINATSHIPI Busang Collen,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,2004-02-13
Silver Medal,NDORI Bayapo,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,1999-06-20
Silver Medal,PESELA Anthony,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,2002-06-09
Silver Medal,SCOTCH Leungo,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,1996-02-28
Silver Medal,TEBOGO Letsile,Male,BOT,Botswana,BOT,Botswana,Men's 4 x 400m Relay,2003-06-07
Bronze Medal,DAVEY Lewis,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,2000-10-24
Bronze Medal,DOBSON Charles,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,1999-10-20
Bronze Medal,HARRIES Toby,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,1998-09-30
Bronze Medal,HAYDOCK-WILSON Alex,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,1999-07-28
Bronze Medal,HUDSON-SMITH Matthew,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,1994-10-26
Bronze Medal,REARDON Samuel,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,2003-10-30
Bronze Medal,CARVELL Charlie,Male,GBR,Great Britain,GBR,Great Britain,Men's 4 x 400m Relay,2004-06-30
Gold Medal,BROWN Kaylyn,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,2004-12-31
Gold Medal,BUTLER Aaliyah,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,2003-11-05
Gold Medal,ELLIS Kendall,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,1996-03-08
Gold Medal,HAYES Quanera,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,1992-03-07
Gold Medal,HOLMES Alexis,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,2000-01-28
Gold Medal,LITTLE Shamier,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,1995-03-20
Gold Medal,McLAUGHLIN-LEVRONE Sydney,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,1999-08-07
Gold Medal,THOMAS Gabrielle,Female,USA,United States,USA,United States,Women's 4 x 400m Relay,1996-12-07
Silver Medal,BOL Femke,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,2000-02-23
Silver Medal,de WITTE Lisanne,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,1992-09-10
Silver Medal,KLAVER Lieke,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,1998-08-20
Silver Medal,PEETERS Cathelijn,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,1996-11-06
Silver Medal,SAALBERG Eveline,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,1998-07-30
Silver Medal,van de WIEL Anne,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,1997-06-04
Silver Medal,van der SCHOOT Myrte,Female,NED,Netherlands,NED,Netherlands,Women's 4 x 400m Relay,2004-04-16
Bronze Medal,ANNING Amber,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,2000-11-18
Bronze Medal,JOHN Yemi Mary,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,2003-05-03
Bronze Medal,KELLY Hannah,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,2000-12-20
Bronze Medal,NIELSEN Laviai,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,1996-03-13
Bronze Medal,NIELSEN Lina,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,1996-03-13
Bronze Medal,OHURUOGU Victoria,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,1993-02-28
Bronze Medal,WILLIAMS Jodie,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,1993-09-28
Bronze Medal,YEARGIN Nicole,Female,GBR,Great Britain,GBR,Great Britain,Women's 4 x 400m Relay,1997-08-11
Gold Medal,CURRY Stephen,Male,USA,United States,USA,United States,Men,1988-03-14
Gold Medal,EDWARDS Anthony,Male,USA,United States,USA,United States,Men,2001-08-05
Gold Medal,JAMES LeBron,Male,USA,United States,USA,United States,Men,1984-12-30
Gold Medal,DURANT Kevin,Male,USA,United States,USA,United States,Men,1988-09-29
Gold Medal,WHITE Derrick,Male,USA,United States,USA,United States,Men,1994-07-02
Gold Medal,HALIBURTON Tyrese,Male,USA,United States,USA,United States,Men,2000-02-29
Gold Medal,TATUM Jayson,Male,USA,United States,USA,United States,Men,1998-03-03
Gold Medal,EMBIID Joel,Male,USA,United States,USA,United States,Men,1994-03-16
Gold Medal,HOLIDAY Jrue,Male,USA,United States,USA,United States,Men,1990-06-12
Gold Medal,ADEBAYO Bam,Male,USA,United States,USA,United States,Men,1997-07-18
Gold Medal,DAVIS Anthony,Male,USA,United States,USA,United States,Men,1993-03-11
Gold Medal,BOOKER Devin,Male,USA,United States,USA,United States,Men,1996-10-30
Silver Medal,NTILIKINA Frank,Male,FRA,France,FRA,France,Men,1998-07-28
Silver Medal,BATUM Nicolas,Male,FRA,France,FRA,France,Men,1988-12-14
Silver Medal,ALBICY Andrew,Male,FRA,France,FRA,France,Men,1990-03-21
Silver Medal,YABUSELE Guerschon,Male,FRA,France,FRA,France,Men,1995-12-17
Silver Medal,CORDINIER Isaia,Male,FRA,France,FRA,France,Men,1996-11-28
Silver Medal,FOURNIER Evan,Male,FRA,France,FRA,France,Men,1992-10-29
Silver Medal,de COLO Nando,Male,FRA,France,FRA,France,Men,1987-06-23
Silver Medal,LESSORT Mathias,Male,FRA,France,FRA,France,Men,1995-09-29
Silver Medal,GOBERT Rudy,Male,FRA,France,FRA,France,Men,1992-06-26
Silver Medal,WEMBANYAMA Victor,Male,FRA,France,FRA,France,Men,2004-01-04
Silver Medal,STRAZEL Matthew,Male,FRA,France,FRA,France,Men,2002-08-05
Silver Medal,COULIBALY Bilal,Male,FRA,France,FRA,France,Men,2004-07-26
Bronze Medal,PLAVSIC Uros,Male,SRB,Serbia,SRB,Serbia,Men,1998-12-22
Bronze Medal,PETRUSEV Fili,Male,SRB,Serbia,SRB,Serbia,Men,2000-04-15
Bronze Medal,JOVIC Nikola,Male,SRB,Serbia,SRB,Serbia,Men,2003-06-09
Bronze Medal,BOGDANOVIC Bogdan,Male,SRB,Serbia,SRB,Serbia,Men,1992-08-18
Bronze Medal,MARINKOVIC Vanja,Male,SRB,Serbia,SRB,Serbia,Men,1997-01-09
Bronze Medal,DOBRIC Ognjen,Male,SRB,Serbia,SRB,Serbia,Men,1994-10-27
Bronze Medal,JOKIC Nikola,Male,SRB,Serbia,SRB,Serbia,Men,1995-02-19
Bronze Medal,MICIC Vasilije,Male,SRB,Serbia,SRB,Serbia,Men,1994-01-13
Bronze Medal,GUDURIC Marko,Male,SRB,Serbia,SRB,Serbia,Men,1995-03-08
Bronze Medal,DAVIDOVAC Dejan,Male,SRB,Serbia,SRB,Serbia,Men,1995-01-17
Bronze Medal,AVRAMOVIC Aleksa,Male,SRB,Serbia,SRB,Serbia,Men,1994-10-25
Bronze Medal,MILUTINOV Nikola,Male,SRB,Serbia,SRB,Serbia,Men,1994-12-30
Gold Medal,AHMAN David,Male,SWE,Sweden,SWE,Sweden,Men,2001-12-20
Gold Medal,HELLVIG Jonatan,Male,SWE,Sweden,SWE,Sweden,Men,2001-10-05
Silver Medal,EHLERS Nils,Male,GER,Germany,GER,Germany,Men,1994-02-04
Silver Medal,WICKLER Clemens,Male,GER,Germany,GER,Germany,Men,1995-04-28
Bronze Medal,MOL Anders Berntsen,Male,NOR,Norway,NOR,Norway,Men,1997-07-02
Bronze Medal,SOERUM Christian Sandlie,Male,NOR,Norway,NOR,Norway,Men,1995-12-03
Gold Medal,LEITAO Iuri,Male,POR,Portugal,POR,Portugal,Men's Madison,1998-07-03
Gold Medal,OLIVEIRA Rui,Male,POR,Portugal,POR,Portugal,Men's Madison,1996-09-05
Silver Medal,CONSONNI Simone,Male,ITA,Italy,ITA,Italy,Men's Madison,1994-09-12
Silver Medal,VIVIANI Elia,Male,ITA,Italy,ITA,Italy,Men's Madison,1989-02-07
Bronze Medal,LARSEN Niklas,Male,DEN,Denmark,DEN,Denmark,Men's Madison,1997-03-22
Bronze Medal,MOERKOEV Michael,Male,DEN,Denmark,DEN,Denmark,Men's Madison,1985-04-30
Gold Medal,NAEHER Alyssa,Female,USA,United States,USA,United States,Women,1988-04-20
Gold Medal,FOX Emily,Female,USA,United States,USA,United States,Women,1998-07-05
Gold Medal,ALBERT Korbin,Female,USA,United States,USA,United States,Women,2003-10-13
Gold Medal,GIRMA Naomi,Female,USA,United States,USA,United States,Women,2000-06-14
Gold Medal,RODMAN Trinity,Female,USA,United States,USA,United States,Women,2002-05-20
Gold Medal,KRUEGER Casey,Female,USA,United States,USA,United States,Women,1990-08-23
Gold Medal,DUNN Crystal,Female,USA,United States,USA,United States,Women,1992-07-03
Gold Medal,WILLIAMS Lynn,Female,USA,United States,USA,United States,Women,1993-05-21
Gold Medal,SWANSON Mallory,Female,USA,United States,USA,United States,Women,1998-04-29
Gold Medal,HORAN Lindsey,Female,USA,United States,USA,United States,Women,1994-05-26
Gold Medal,SMITH Sophia,Female,USA,United States,USA,United States,Women,2000-08-10
Gold Medal,DAVIDSON Tierna,Female,USA,United States,USA,United States,Women,1998-09-19
Gold Medal,NIGHSWONGER Jenna,Female,USA,United States,USA,United States,Women,2000-11-28
Gold Medal,SONNETT Emily,Female,USA,United States,USA,United States,Women,1993-11-25
Gold Medal,SHAW Jaedyn,Female,USA,United States,USA,United States,Women,2004-11-20
Gold Medal,LAVELLE Rose,Female,USA,United States,USA,United States,Women,1995-05-14
Gold Medal,COFFEY Samantha,Female,USA,United States,USA,United States,Women,1998-12-31
Gold Medal,MURPHY Casey,Female,USA,United States,USA,United States,Women,1996-04-25
Gold Medal,BETHUNE Croix,Female,USA,United States,USA,United States,Women,2001-03-14
Gold Medal,SAMS Emily,Female,USA,United States,USA,United States,Women,1999-07-01
Silver Medal,LORENA,Female,BRA,Brazil,BRA,Brazil,Women,1997-05-06
